"hexid","ATT","CI.lower","CI.upper","period"
"FR81",-6.05866026062943,-24.6338794969385,12.5165589756796,"0-12"
"FR5",3.79079528316862,-5.93622525578183,13.5178158221191,"0-12"
"FR77",-4.94438039818287,-31.2823100392165,21.3935492428508,"0-12"
"FR32",-4.54584388003037,-33.2545843151724,24.1628965551116,"0-12"
"FR25",2.64492553356543,-17.3325163595186,22.6223674266494,"0-12"
"FR47",0.341857803239161,-14.0110458264981,14.6947614329764,"0-12"
"FR18",-0.983112906663663,-33.3673673717122,31.4011415583849,"0-12"
"FR41",7.82646253459597,-23.976606267586,39.629531336778,"0-12"
"FR21",5.82106757767985,-20.6706156219472,32.3127507773069,"0-12"
"FR44",1.89831244376136,-7.54439408931999,11.3410189768427,"0-12"
"FR29",-0.646538312133732,-11.2701366727879,9.97706004852041,"0-12"
"FR76",-5.96346177476716,-20.2626767021312,8.33575315259691,"0-12"
"FR38",3.00330112609363,-13.2278214077372,19.2344236599244,"0-12"
"FR89",-1.29175124222368,-16.2457325571906,13.6622300727433,"0-12"
"FR23",0.226120727614975,-9.99600352027542,10.4482449755054,"0-12"
"FR12",-13.2376718148778,-32.2968304383253,5.8214868085697,"0-12"
"FR13",16.2779502259862,-0.305666357491599,32.861566809464,"0-12"
"FR91",7.60634981157657,-9.0733932453265,24.2860928684796,"0-12"
"FR92",-13.3194519804606,-28.3162242776696,1.67732031674844,"0-12"
"ALL",0.217537693948373,-3.23108235583751,3.66615774373426,"0-12"
"ALL Over 10",1.141351739747,-3.78039381340955,6.06309729290354,"0-12"
"ALL Under 10",-0.673489754246204,-5.50710879169697,4.16012928320456,"0-12"
"FR81",-4.328678698169,-21.1974948585019,12.5401374621639,"13-24"
"FR5",-1.95019195835134,-13.2581486366788,9.3577647199761,"13-24"
"FR77",-4.93451387213561,-29.923991408267,20.0549636639958,"13-24"
"FR32",24.2558861721966,0.310396113308961,48.2013762310842,"13-24"
"FR25",-1.24079646745305,-21.5131871222204,19.0315941873143,"13-24"
"FR18",1.36564979093062,-23.1440313356832,25.8753309175445,"13-24"
"FR41",-0.19339347587719,-24.3404969622976,23.9537100105432,"13-24"
"FR21",14.107589673994,-6.11466919395304,34.329848541941,"13-24"
"FR44",1.47769177298452,-10.6192424997819,13.574626045751,"13-24"
"FR38",-5.22828738210665,-23.8461145835207,13.3895398193074,"13-24"
"FR89",-2.24477471364153,-19.7442990495556,15.2547496222726,"13-24"
"FR23",0.869231877225339,-15.3236598822807,17.0621236367314,"13-24"
"FR12",-15.5201281452296,-47.7767213977008,16.7364651072416,"13-24"
"FR13",8.05528329332813,-4.39546757044535,20.5060341571016,"13-24"
"FR91",21.0057966696298,-10.8741782183831,52.8857715576427,"13-24"
"FR92",-13.1772262532548,-29.5877906592213,3.23333815271174,"13-24"
"ALL",0.716394331734744,-3.6754403971573,5.10822906062679,"13-24"
"ALL Over 10",1.91228630077388,-3.98859394513099,7.81316654667876,"13-24"
"ALL Under 10",-0.768691793662762,-7.34446228019729,5.80707869287176,"13-24"
"FR81",0.93938766355543,-12.7815883253994,14.6603636525102,"25-36"
"FR5",0.550185915669331,-10.4507449725516,11.5511168038903,"25-36"
"FR77",-1.72641063883031,-14.7749208688741,11.3220995912135,"25-36"
"FR32",6.66025469374711,-21.9934095003671,35.3139188878613,"25-36"
"FR25",-3.09025020011118,-23.6761145698902,17.4956141696678,"25-36"
"FR18",0.0478289987702151,-26.1840255951343,26.2796835926747,"25-36"
"FR41",0.891607270197835,-24.5008837884724,26.284098328868,"25-36"
"FR21",9.44579899988717,-2.25497701578081,21.1465750155552,"25-36"
"FR44",-0.323079822438536,-10.8992499547306,10.2530903098535,"25-36"
"FR38",-1.74105777822823,-14.8027838153913,11.3206682589348,"25-36"
"FR89",-2.45967517567541,-14.6604471210085,9.74109676965772,"25-36"
"FR12",22.0999051637261,-6.93407795771065,51.1338882851628,"25-36"
"FR13",8.18399720330248,-7.80326617920322,24.1712605858082,"25-36"
"FR91",26.8462503311487,-11.0668104380417,64.7593111003391,"25-36"
"FR92",-35.4624517877558,-65.1772449573793,-5.74765861813231,"25-36"
"ALL",1.25923484385372,-2.76399741550085,5.28246710320829,"25-36"
"ALL Over 10",3.52071095684075,-2.14753712862936,9.18895904231086,"25-36"
"ALL Under 10",-1.03681871740384,-6.74823552196214,4.67459808715446,"25-36"
"FR81",-9.44795129524299,-38.0462189074172,19.1503163169313,"0-36"
"FR5",2.39078924048661,-16.1431065510492,20.9246850320224,"0-36"
"FR77",-11.6053049091488,-50.1854052787489,26.9747954604513,"0-36"
"FR32",26.3702969859133,-20.7318339985943,73.4724279704209,"0-36"
"FR25",-1.68612113399879,-36.8122626713493,33.4400204033517,"0-36"
"FR18",0.430365883037167,-47.9181046369396,48.778836403014,"0-36"
"FR41",8.52467632891662,-38.7965281589751,55.8458808168084,"0-36"
"FR21",29.374456251561,-5.94773495793915,64.6966474610611,"0-36"
"FR44",3.05292439430734,-15.5845620278665,21.6904108164812,"0-36"
"FR38",-3.96604403424125,-31.9067225421059,23.9746344736234,"0-36"
"FR89",-5.99620113154062,-32.0483362688697,20.0559340057884,"0-36"
"FR12",-6.65789479638128,-54.0573833124505,40.7415937196879,"0-36"
"FR13",32.5172307226168,6.33269088474361,58.70177056049,"0-36"
"FR91",55.4583968123551,3.1903683035912,107.726425321119,"0-36"
"FR92",-61.9591300214712,-99.0694889064269,-24.8487711365155,"0-36"
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36"
"ALL Over 10",6.85180177166534,-3.75612536910194,17.4597289124326,"0-36"
"ALL Under 10",-2.74908371419876,-14.3075854978056,8.80941806940809,"0-36"
"FR23",1.09535260484031,-18.0541008514437,20.2448060611243,"0-24"
"FR29",0.957758497397643,-16.8782303352002,18.7937473299955,"0-23"
"FR47",2.99498499465654,-15.2484183756688,21.2383883649819,"0-23"
"FR76",-7.39887904519663,-23.7876963122268,8.98993822183352,"0-14"
